,Text
17,"@micLIBERAL @Martin_Sichert @kbv4u @AfD Komisch, dass diese starke Steigerung auch bei vielen anderen (Nicht-Tod-bezogenen) Codes auftritt. Und sehr merkwürdig, dass - ähnlich wie bei der US-Militärdatenbank Anfng des Jahres - auch hier irgendwelche Datenfehler in den alten Daten Schuld sein sollen für die Zuwächse."
18,@katjabraendle @NIH @WSJ Fauci at his best. Pushing useless medicines and methods for the benefit of Big Pharma.
19,"@TerriCook4truth The media pushed a false narrative for years against President Trump.The same folks who believed that propaganda also were the same ones who bought into the COVID lie,mask nonsense and “vaccine” tyranny and Holocaust.Simply put,brainwashed by a very aggressive &amp; well funded psyop"
20,@Brakemans_Turn @RachelNotley Each province was accused of misusing the covid money. It would seem the money never came from the fed if each province saw nothing.
21,"New Research: Lactoferrin for COVID-19 prevention, treatment, and recovery: Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2), a unique beta-coronavirus, has caused the most serious outbreak of the last century at the global level.… https://t.co/DCf1SRmpRq #Nutrition"
22,@CardioNerd1 @ecgrhythms @AdiG1993 @RobertHermanMD @DidlakeDW @EM_RESUS @Sthanu5 @ShaojieChen1 Pericardial effusion ?? Was he recently vaccinated from covid?
23,@kevinfolta @PeterHotez Kevin you clearly haven’t done your research of countries that had most of their adult population vaccinated and covid cases exploded. It’s even well understood in the US that the vaccinated were transmitting as much as the unvaccinated. My brain hurts with your illogic misinfo.
24,"@Tim_Roehn @EBodderas @welt Erstaunlich, dass sowohl in der US-Militärdatenbank Anfang des Jahres und nun auch in dieser Datenbank die gleiche Art von Fehler für diese riesigen Zuwächse verantwortlich sein soll!"
25,"Was a real pleasure to be back on @bbcnewcastle this afternoon - chatting about #COVID finally catching me, &amp; the importance of boosters &amp; testing, especially over Christmas! Too bad I missed @alfiejoey 😉

Unfortunately no longer available w/o VPN! 16.10: https://t.co/ka7E6zfUSW"
26,"#Africa and blame shifting.

Countries that can't build a working PHC system, now wants to buy COVID-19 vaccines.

Were the handouts used judiciously? https://t.co/J44Ua61hwO"
27,"@DrPuerner das gleiche gilt für die Schweizer Swissmedic. 
Gegen diese wurde bereits Strafanzeige eingereicht von 6 mRNA Geschädigten und 37 Nebenklägern.  300 Seiten StrAnz, 300 Seiten Evidenzreport.
https://t.co/pvE98QMbPR"
28,"From Covid rules or recommendations and energy saving to skiing, here's what to expect if you're visiting Switzerland this December. https://t.co/V8gOKSO1U3"
29,"@plus_eins_plus @TinoSorge Quatsch mit Sosse, schon längst widerlegt."
30,@interpharma_ch 😂😂😂
31,NUMBER OF COVID CASES IN BEIJING RAPIDLY RISING - STATE MEDIA
32,50 COVID CASES IN SERIOUS OR CRITICAL CONDITION IN BEIJING - STATE MEDIA
33,"@MartinStamer Make no mistake:  wir werden es genauso wenig wieder loswerden wie alle anderen Coronaviren. 

Wer hat Ihnen denn den Stuss eingetrichtert???"
34,"@Blickch Ich tut gut daran, zunächst mal die Schäden des ersten Produktes sauber aufzuarbeiten, bevor Ihr weiteren schlampig zugelassenen Schrott propagiert.
https://t.co/pJneRHo63I"
35,"@FakeControlArea @PEI_Germany Verhaftet diese gutgenährten Pfründeverwalter, die ihren Job nicht machen, endlich!"
36,@VQuaschning @elonmusk Wem gehört Mastodon?
37,"@Schneimere @chparlament Wann?  
https://t.co/pvE98QMbPR"
38,"@Schneimere @chparlament Wann? 
https://t.co/AozWZofvTY"
39,"@Schneimere @chparlament Wann, liebe Meret, werdet Ihr Euch endlich um den Elefant im Raum kümmern?  
https://t.co/pJneRHo63I"
40,@DrWood @AnnieGr98324225 @johnpavlovitz @elonmusk He worked with the CDC as the senior virologist. He was behind the mocking of ivermectin and hydroxychloroquine. Ivermectin has been proven to be affective in the early stages of COVID. How many people died because Fauci only wanted the vaccine and no other modes of treatment.
41,"War, climate change, Covid: 2022 has stretched #multilateralism to its limits. This week, #InsideGeneva podcast host @ImogenFoulkes is joined by #UN correspondents @nina_larson @AFP, @COelrich @dpa, and @doburkhalter @swissinfo_en to reflect on 2022. https://t.co/hK24XNbLpd https://t.co/iGoKinfLRL"
42,"@DrJBhattacharya It’s over for some. My partner’s mom is terrified of life. She hasn’t left the house in over 2.5 years now (seriously, she hasn’t) and she asks us to do covid tests and mask up when we visit… her partner has to sleep in another room, because she’s terrified of his germs."
43,"Das Statement findet man hier:
https://t.co/odFTB9ugpo"
44,"Hochrisikopatienten &amp; Patientenorganisationen @LongCovidCH @Positivrat @lymphome_ch appellieren an Behörden, damit immungeschwächte Personen in der Pandemie besser geschützt, Risiken gesenkt und Zugang zu Medikamenten verbessert werden. @IGRisikogruppe 
https://t.co/WIkZsa9etk"
45,"„Man hängt den angestrebten Umbau der Gesellschaft an jedes x-beliebige Thema, das Aussicht auf Erfolg verspricht.“
Genau: Klima, Energie, COVID. Bald kommen anderen unsinnige Behauptungen. https://t.co/tB8Xtwsbs6"
46,@derspiegel Wann kümmert Ihr Euch endlich um den Elefanten im Raum? https://t.co/iZVHlDwGZE
47,"NEWS #ticino Indennità Covid, una ticinese fa scuola https://t.co/XBtkwegj12 https://t.co/mFrcfxdDyy"
48,@VP https://t.co/X1Vck3URhT https://t.co/9G3hDo0Z2p
49,"@Maurice_Conrad Recherchieren Sie besser.  
https://t.co/pJneRHo63I"
50,"@mz_storymakers wann kommt eigentlich mal eine Razzia bei KBV, Biontech und RKI ?"
51,@FHabersberger @PokeyArcticCirc Sozialistin!
52,@SHomburg Jetzt reicht es dann langsam. Wann werden diese Leute endlich von ihren einträglichen Pfründen entfernt und der Prozess gemacht ?
53,"@tmgruber @ToscanRalph @washingtonpost ...and something kills a lot of people ""suddenly and unexpectedly"" since beginning of 2021 in Germany: https://t.co/tUXVFIfCTs"
54,"@ErikMarquardt Wann beginnen Sie damit, sich mal mit dem Elefanten im Raum zu befassen? Auswertung der Todesursachen-Statistik der Kassenärtzlichen Vereinigung. 
Seit Beginn 2021 eine Verdreifachugn plötzlicher Todesfälle!!! https://t.co/nsOspUhPud"
55,"@TinoSorge Auswertung der Todesfall-Daten der Kassenärztlichen Vereinigung Deutschlands (72 Mio. Patienten):
Verdreifachung der Todesfälle ""plötlzlich und unerwartet"" seit Beginn 2021.  Wann wird das endlich untersucht??? https://t.co/wSVL6LQS5Z"
56,"@ToscanRalph @ETH Wann stellt er das richtig?  Die Zertifikate waren völlig wirkungslos, was die Infektionseindämmung betraf."
57,"@ScheideggerNora @MPICSL Gute Besserung🍀. Geimpft (#Grippe, Dualimpfung #Covid)?"
58,@WhiteHouse There's a place where you shove your updated covid poison. And the sun don't shine there...
59,@MaskedK9 I want to know why the homeless didn’t drop like flies during Covid
60,"I believe that the more up-to-date one is vaccinated against COVID, the better the organism copes with the infection and one is fit again more quickly. For me it took 5 days and no LC so far. https://t.co/ezeBltmDZ4"
61,@Point_of_Gold @WholeMarsBlog You should direct your wishes at all the multi mrna vaxxed peeps who keep getting covid again and again
62,"@Teeznutz11 @MarioNawfal - that's why ppl say many more died: vac injured ppl, deaths from vax (not exaggerating!), and suppressed medication for Covid. 
- compare current excess mortality in poor (low vax proportion) countries vs USA... a huge difference! 
- lies about the vax stopping transmission"
63,"@Teeznutz11 @MarioNawfal It's tricky; many (like me) supported his policy initially. Red flags: 
-novel vax have proven much less safe &amp; much less effective than advertised. Still they kept forcing them onto ppl. 
- common sense medication for Covid-19 was suppressed/forbidden to promote the vax!"
64,"@frankcanfly @Teeznutz11 @MarioNawfal -'safe and effective': 2-3 million severely vax injured in the US. Efficacy wanes quickly after 3 months. 
-'prevents transmission': No study conducted. A lie. 
-'only vax can save you': Wrong. 'poor' countries successfully treat Covid patients w basic meds
-'natural virus':tbc.."
65,CHINA SAID TO DELAY ECONOMIC POLICY MEETING AMID COVID SURGE- ET NOW TWEET
66,@Point_of_Gold @WholeMarsBlog Not everything I guess. But the covid cold and the woke mind virus didn't stand a chance.
67,"New post: Hilfe und Hoffnung für ME CFS und Long Covid Erkrankte https://t.co/T41xUi9KC8 Long Covid ist ein Begriff, de #Fasynation #Fatigue-Syndrom #LongCovid #MECFS"
68,"Seit der Schweinegrippe, mehr noch seit COVID, lohnt sich, jede Impfung / Spritze und jedes Medikament zu hinterfragen. 
Warum sollen diese Firmen das Beste für die Menschen wollen, wenn sie, in Verbindung mit den Regierungen, einfacher an Steuergelder als an Markterfolg kommen?"
69,"@MarcoSchlaepfer @20min beschuldigten uns, dass wir unsere Kinder töten würden.
Extremer Druck, dagegen war der Druck mit der Covid-Impfung ein laues Lüftchen.
Auch im Nachhinein war es eine der besten und wichtigsten Entscheidungen die wir als Eltern fällten."
70,@nytimes Yoel deserves to be attacked. Prosecuted actually. And in regard to Fauci... just wait for the Twitter files on his role in the covid madness. It'll be fun.
71,"Absence of evidence is not evidence of absence. We also can’t rely on neurological testing only to understand the mechanisms of  systemic immunological vascular diseases like #LongCovid and #MECFS, which affect multiple organs, tissues and cells.  https://t.co/MhsyGooJaS"
72,"@maga3patriot @italianmaster @PamelaHensley22 Gain of function research allows us understand the mutation of amino acids that cause these viruses and prevent or reverse it. The irony is that if not for the moratorium, that shut down the research on SARS, we may have been able to shut down covid before it became a thing"
73,"@amyklobuchar I lived in Minnesota for 25 years. For a Dem, I actually thought you were sort of moderate and sensible. But you are way off on Fauci, CDC, Origins of Covid and the dangers of the vaccination."
74,"@GiovanniLenhart There shouldn’t be but there always is.  The refs, evil Dana Holgorsen culture, COVID, young secondary, transfer portal, NIL, Neal Brown needs more time, the coaches aren’t the ones fumbling or dropping passes, and the list goes on.."
75,"@CryptoNinjaco @lovinit_sea @NeerajKA Yeah, that narrative doesn’t play well with the millions of people that have had friends and family hospitalized and/or die from Covid. It feels like a pretty big deal to us."
76,@M_T_Franz Bauernopfer.
77,@holmenkollin Nicht mal die Bücherwand ist echt.
78,"@BMG_Bund ""um sich und die Bewohnerinnen zu schützen""  ist medizinische Desinformation. Es besteht bei den mRNA-Behandlungen KEINERLEI Fremdschutz, im Gegenteil.
https://t.co/FWZ9Uoazxz"
79,"Wird, wie vom US COVID-Papst, Anthony Fauci, weiterhin versucht, den (lächerlichen) Bezug zwischen Klima und COVID herzustellen, merken es auch die COVID-, Klima- und Regierungs-Gläubigen, dass etwas faul ist mit unseren gewählten und nicht-gewählten „Eliten“ und ihren Agenden."
80,"It has become totally ridiculous:
Anthony Fauci merges COVID &amp; Climate: Infectious diseases 'largely the result' of human 'encroachment on nature' &amp; 'often aided by climate changes' - Published in New England Journal of Medicine | Climate Depot

https://t.co/CLszUxsbSx"
81,"@PeterHotez You seem a good man. Thanks for what you do, but the ""branch covidians"" is not a smear on you. 

The branch covidians are the people who asserted covid was going to make humanity go extinct."
82,"@CollinRugg AND FOR PROMOTING THE COVID JABS!
AND DENYING THE USE OF HCQ &amp; IVERMECTIN!
CRIMES AGAINST HUMANITY!!!"
83,@insomni @PhilHollowayEsq @elonmusk @jeffreyatucker @DrJBhattacharya Sure just check the swiss government sites. For as we have power sharing from right to left. People followed the pandemic rules and since March this year all covid mandates liftet. Watch and learn
84,"@megynkelly Read her Bio: ""Asymptomatic Long Covid ~ Educator/Influencer ~ Reluctant Caucasian ~ Vaccinated x 8 ~ Polymonogamist ~ Pronouns: I/We ~ Satire ~ Teacher ~ Empath"""
85,@GoshDarnIt15 @itsJeffTiedrich @elonmusk It's a good example of someone who is able to change his mind when reading more literature and looking at new data. I was super pro-(Covid)-vax in summer 2021. Triple vaxxed. If only I had started reading about the huge potential harms earlier... Nobody warned us.
86,"@johnpavlovitz @elonmusk by forbidding thousands of hard-working, well-meaning and experienced doctors to apply common-sense medication to people who suffer from Covid-19? 
He has never practised as a doctor. Being wrong is ok. But not admitting your errors in such a position is criminal."
87,@friknwikid It's enough for me to NEVER EVER get the Covid jab!!!
88,US COVID death toll surges in third winter of the pandemic https://t.co/V0q055m8nG via @instapaper
89,"This tweet brought to you by my dumbass friend who fits all of these parameters (plus not fully vaxxed) and somehow only now just got Covid and LOL’d at me that I’m gonna get it, too! What an incredibly unkind thing to say to anyone. https://t.co/IbweJR8DU0"
90,I am so sick of Covid denial and people thinking herd immunity is going to happen anytime soon or ever and no one wearing masks or taking any fucking precautions.
91,@NonPossumus kowidianie są kierowani w Szwajcarii do psychologa i psychiatrii na terapię. Long Covid to nazywają.
92,"@JohnsonHildy @tahDeetz @realDailyWire There is no logical reason for the Covid vax to be forced on anyone, especially a organ recipient"
93,EUROPEAN COUNCIL LIFTS COVID-19 TRAVEL RESTRICTIONS
94,@itosettiMD_MBA @covid_ch @EyeWtaf @19joho Why ? He has Long Covid ?
95,"Habt ihr eigentlich eine Ahnung, wie katastrophal sich die plötzliche Aufhebung der No-Covid-Strategie auf die Lieferbarkeit von Medikamenten (und viiielem anderen) auswirken wird?
😳😬😵"
96,CHINA’S AMBASSADOR TO THE UNITED STATES QIN GANG SAYS HE BELIEVES CHINA’S COVID-19 MEASURES WILL BE FURTHER RELAXED IN NEAR FUTURE AND INTERNATIONAL TRAVEL TO CHINA WILL BECOME EASIER
97,@holmenkollin @MeowMuhCow und mehr... https://t.co/3usNzJOCOW
98,@Tim_Roehn https://t.co/vffi8z0G2p
99,"@vilimsky Interessanter wäre es, mal die EMA genau zu durchleuchten. Und wer ihr die entsprechenden Kommandos erteilt hat, dass sie beide Augen zugedrückt hat: https://t.co/eICiNR94Mn"
100,@degampraesident schon gesehen? https://t.co/Ry5Ast2GK7
101,"@StationCDRKelly @elonmusk Fauci has been in place since 40 years, and under his watch, big pharma became fat and all-powerful while the average American became sicker and sicker.  He claimed the vax was safe and stops transmission: a blatant lie.  He advocated lockdowns and now even lies about that!"
102,"@DrEliDavid Analysis of the German Medical Doctor Association data (72m insured persons) on invoiced cases show as incredible bloodbath since 2021: 
Sudden Death (ICD-10-R96.0) up 1004%
Leukemia (ICD-10-C91.5) up 163%
Bone Degeneration (ICD-10-M82.1) up 77% etc. etc. https://t.co/rfODaVDNya"
103,"@M_T_Franz Schon gesehen, Franz: https://t.co/PZobPFIaTO"
104,@BILD Der grössere Korruptionsskandal verbirgt sich leider in diesen Zahlen hier: https://t.co/paLvpL8spF
105,die Auswertung der Daten der Kassenärztlichen Vereinigung bringt Ungeheuerliches zu Tage: https://t.co/pWQn8fw1jw
106,"There is a covid dab party next saturday and the name of the dj is Patient 0... wyd ?

#Solana #SolanaNFTs #Dabs"
107,"@MrsSwannH @covid_ch @Redkiraz @CfLahuri @19h30RTS Évidemment qu'il est mal à l'aise, il sait très bien que c'est pas anodin de savoir ou ne pas savoir ""quel"" virus est responsable de l'infection"
108,"@DanaMetcalfe5 I suspect isolation has impacted their immune systems. Will likely take a couple years of elevated illness to return to normal.
Sad since kids were not at great risk of covid, yet they pay the price."
109,@sarahbeth345 @Theo_TJ_Jordan Have him wear a Life Jacket as well. Higher chance of drowning than anything Covid related that that damn mask would help with. #LifeJacketsSaveLives unlike Masks that do absolutely nothing to help anyone https://t.co/Pqn5SWEoFd https://t.co/Ud1Q345toz
110,"@elonmusk People don't worry, I can see why he is venting his hanger here because he can't specifically mention the Chinese government for their covid measures which are affecting his Tesla production lines."
111,@DataDrivenFP I don't think Paxlovid is available in Switzerland unless you're specifically at risk. I think I'm over the hump of the infection itself - now I just want to avoid long-COVID!!
112,"@jonas18121996 Die grösste Gefahr kommt derzeit von denjenigen Politikern, welche laufend die Meinungsäusserungsfreiheit beschneiden und von den Richtern, die das alles absegnen. In 10 Jahren werdet Ihr das vielleicht bemerken."
113,@itosettiMD_MBA @Sophieperson71 @covid_ch soit les deux...
114,@Sophieperson71 @covid_ch Merci mais vous êtes hors sujet...
115,"Nach der Lockerung der Null-#Covid-Strategie in #China müssen viele Spitäler einen Ansturm von Infizierten bewältigen.
https://t.co/IIJtbIuOji"
116,"@galinash @KashPrime @DFisman I remember seeing reports on it (probably not from Swedish media). It was confusing though. It might be an issue with translation. What is ""long-term problems with something that is not an established chronic disease."" supposed to mean? How is it COVID related?"
117,"@HugonetX @Daniela44490417 Il était considéré pas trop contagieux... mais le système immunitaire de la population en ère ""post covid"" n'est pas le meme d'avant le covid; dès lors qui peut prevoir ce qui va se passer avec?"
118,"@ClownWorld_ Saved from Covid, get herpes instead."
119,@RepDeanPhillips Bullshit. His gain of function research developed the Covid-19 virus. He and the US Government has a lot of explaining to do.
120,@CollinRugg Yes! And also it should be looked into the HIV Meds he did trials with and Remdesivir on Covid patients☝
121,CHINA UNICOM: WILL DELETE USERS' MOBILE ITINERARY DATA PREVIOUSLY USED TO IDENTIFY TRAVELLERS IN COVID-STRICKEN AREAS FROM DEC 13
122,GAVI CEO SETH BERKLEY EXPECTS COUNTRIES TO ASK FOR HUNDREDS OF MILLIONS OF COVID-19 VACCINE DOSES NEXT YEAR
123,"@Cwknox64 @CollinRugg That same doctor financed gain of function research with covid. So he’s like, responsible for making the virus."
124,@littlewisehen Mir wir auch schon ganz übel. Vom Lesen dieses totalen Blödsinns. Wo waren diese Menschen vor COVID-19? Ich ne wann gehen sie wieder dorthin zurück? Das hält ja kein Mensch aus mit solch fehlgeleiteten Mitmenschen ... 😂😂😂
125,@EdKrassen @elonmusk @StationCDRKelly One of the scientists that work for the company that got the grant from Fauci has blown the whistle. He was working in Wuhan and has stated that the lab leak is the reason for the Covid outbreak. Keep up.
126,"So ist es. Der Unterschied liegt darin, dass es jetzt viele schwerere Verläufe gibt. Der einzige Faktor, der dies widerspruchsfrei erklären kann, wird totgeschwiegen. #SARSCoV2 #covid #immunschwäche https://t.co/2xPcENdOFt"
127,"@joncoopertweets Fauci was so wrong in this pandemic that he is not trustworthy any more at all. Advocated lockdowns, which he today denies and lies about! Said vaccinated couldn't spread, which was a lie.  And said the vaccines are safe, which is the biggest lie of all."
128,"Question : que se passerait-il s'il allait de l'avant en concrétisant cette menace ? Quelque chose me dit que l'Ukraine serait rapidement oubliée, tel fût le sort du covid en février dernier. https://t.co/jgI1IpHSPW"
129,"@ActusPays Question : que se passerait-il s'il allait de l'avant en concrétisant cette menace ? Quelque chose me dit que l'Ukraine serait rapidement oubliée, tel fût le sort du covid en février dernier."
130,"@covid_ch @EyeWtaf @itosettiMD_MBA @19joho ""Rechtlich kein Problem"" ... Really ? Doesn't art. 231 CP still apply ? https://t.co/LabXDKZIgz"
131,"@Prof_FSultana Yup. Nightmare territory. Imagine being a covid doctor or a transgender advocate or anyone, really. Musk is just using twitter as a tool to bully and harass individuals and movements he has a grudge with, and promote far-right positions and conspiracy theories."
132,"@WSchnigge @72powpow Den Chinesen scheints zu gefallen. Wollte eigentlich immer mal nach China reisen, aber seit Covid ist der Plan gestrichen."
133,SHANGHAI CITY GOVT: SHANGHAI WILL DEEM ALL AREAS AS NOT AT RISK OF COVID FROM DEC 13
134,"""Plötzlich und unerwartet verstorben""
BREAKING NEWS:  Auswertung Todesfall-Daten der Kassenärztlichen Vereinigung Deutschlands (72 Mio. Patienten).  Entwicklung Todesfälle ""plötzlich und unerwartet""haben sich seit Start Impfkampagnen verdreifacht! 
https://t.co/aJEc4cxC3u https://t.co/TlSWfgt8ab"
135,"@UllmannMdB Wieso zeigen die Auswertungen der Daten des kassenärztlichen Verbandes eine sprunghafte Verdreifachung von ""plötzlich und unerwartet eingetretenen"" Todesfällen seit Beginn der Impfkampagnen? https://t.co/Z5QylwNbBv"
136,@mondschaf23 Wieviele und welche Art von Waffen genau wurden sichergestellt?
137,@covid_ch Ah ben... quelle surprise... on va pas s ennuyer on dirait... 🥴
138,"@covid_ch La différence est importante car dans le premier cas, l ofsp n y peut rien, tandis que dans le second..."
139,@covid_ch Est ce qu on sait pourquoi les chiffres du bag ne correspondent pas à ceux de l ofs? Est ce que les hôpitaux ne livrent pas toutes les hospitalisations ou est ce que certains hôpitaux ne livrent aucune hospitalisation ?
140,"@covid_ch Non, le S de SARS c'est pour ""soft"" évidemment."
141,@Martiprime @MathiasPriebe Ich!  Aber ich habe auch in verschiedenen Tweets meine heimliche Liebe zu ihr deklariert. Sie war mein leuchtender Stern in der Pandemie! Nie um ein Schreckensnachricht verlegen.
142,@ChrisStoecker Welche Waffen genau wurden sichergestellt?
143,"@Karl_Lauterbach @TheoKoll @berlindirekt Treten Sie bitte endlich zurück.  Alleine Ihre Freundschaft mit dem menschenverachtenden Zar der institutionalisierten Pharma-Korruption, Fauci, der in Amerika übrigens bald vor Gericht gebracht werden wird, ist Grund genug. Abgesehen von Ihren laufend falsch zitierten Studien."
144,@ARD_BaB @ChrFeld 😂😂😂
145,"@UllmannMdB Wann werden Parlamentarier endlich einsehen, dass die mRNA-Behandlungen grobfahrlässig zugelassen wurden und gefährlich sind?  Es handelt sich um den grössten Pharmaskandal aller Zeiten. https://t.co/pJneRHo63I"
146,"@MrsSwannH @covid_ch @Redkiraz @CfLahuri @19h30RTS Ca m'a étonné mais c'est une affirmation ""politique"" et non médicale...
Triste pays, la Suisse"
147,@DiamondandSilk Including recommending to inject disinfectant into your body  and that Covid would be gone in 2 weeks?
148,i feel like i didnt even sleep all night and im freezing my ass off and i have a headache and sore throat and my leg hurts (the fall on ice yesterday?) so i just went back to bed i camt do this today i havent been sick since covid
149,"@mspro @elonmusk Könnten Sie bitte darlegen, welche Teile seiner Enthüllungen bis jetzt nicht gestimmt haben, und worauf Sie diese Analyse stützen?"
150,@venturetwins Was just explaining this tonight. They also do this really interesting thing where their entire Sunday slates often share a lot of the same themes. I think COVID threw a wrench in a lot of schedules but it used to be uncanny how three shows in a row would touch on similar topics.
151,"@DrLombre Συνεργαστηκαν πριν 2 χρόνια στο θέατρο (προ Covid). Από έγκυρη πηγή: Είναι μια χαρά. Συναντιούνται συχνά για μπιρίμπα. Η Καβογιάννη αρνείται να μιλήσει για φίλες και φίλους, γιατί έχει πολλές και πολλούς και δεν θέλει να αδικεί κανέναν."
152,@donmoyn Lockdowns only ever happen in prisons and in China. I really wish people would stop using that term with regard to Covid.
153,"@Nigel_Farage I'm sure the issue of basic infrastructure management would be because of climate change, COVID or racism"
154,@2_Rainez @ChrisVannini They went on probation for illegal recruit contacts during Covid dead periods. The recruits in question were at the prep school because they were trying to keep kids from leaving.
155,"@awgaffney Is there a point here?  

Is it that COVID- a virus that is by any measure &gt; 98% survivable, can be so mild that it goes unnoticed?

Or is it that stratified segments of the population lack access to healthcare?

Look, you made me look up serologically, what is your input?"
156,@ODelamarche Combien d'études ont démontré que les masques en tissus ainsi que les FFP1 sont inutiles contre le Covid car le virus est plus petit que les mailles du tissus ou du masque ?
157,"@farmgeek I donno what it is but there needs to be good public health messaging around this. Most people probably don't know the long covid consequences or the fact that the more times you have it the more likely you'll get complications or whatever.

Plus... We just don't know"
158,"@berlindirekt @ZDF @TheoKoll @Karl_Lauterbach Der Mann lügt wie gedruckt und windet sich dass einen graust.  ZDF, OK, ein erster Schritt, aber leider noch immer OHNE EIER!!  Schärfer nachfragen, der Mann ist untragbar und muss weg. ER ist ein pathologischer Lügner."
159,"@2_Rainez @ChrisVannini It doesn't really matter. The point is that Army and Air Force took extraordinary steps to mitigate attrition during Covid while Navy did not, which left Navy with a team full of sophomores."
160,"@amyklobuchar Not a vaccine-denier. Did not get vaccinated against covid. Got covid twice. Mild cold, Those vaccinated saying their mild cold was because of the vaccine. Strange world. Anyway, my blood is pure and not full of clots. They cannot say the same..."
161,"@ApothekerDer In Asia, wearing a mask when one doesn’t feel well is commonplace since long before COVID.

It’s weird to see those masks at first, but it’s a basic sign of respect. Rationally difficult to think otherwise.

That’s one thing where the Asians are more civil than we westerners."
162,"@ECantanhede Pragmática ?
Um ministro da fazenda que não entende de economia.
Um ministro da Justiça, envolvido em compras de respiradores do covid que foram pagos más nunca foram entregues.
Um ministro da defesa que não entende nada da função.
E uma ministra da Cultura que só sabe cantar ?"
163,"@tabataamaralsp @FlavioDino Você está feliz com um sujeito que comprou centenas de respiradores durante a pandemia do covid de uma loja que comercializa maconha e que recebeu antecipadamente e nunca entregou os equipamentos.
É este tipo de pessoa que você queria ver no poder ??
Qual o nível de seu caráter??"
164,"omg, you dumb woman, OF COURSE you have Covid. (not me)"
165,@mz_storymakers Schuld ist natürlich der Klimawandel
166,@JohnBrennan Dr. Fauci will go down in history as the Doctor responsible for the development of Covid-19 and as the guy who made money off of his lies and everyone’s fears.
167,@sgasteyger siehe Erdogan.
168,"@Tim_Vollert Zu Recht.  Fauci ist die Spinne im Netz des globalen pharmaregulatorischen Komplex, der sich um NIH-FDA-WHO-EMA gruppiert.  Er hat über die letzten 40 Jahre diese Institutionen zu Stätten institutionalisierter Pharma-Korruption umfunktioniert.  
Recherchieren Sie besser."
169,"@mathieuvonrohr Inwiefern?  Dass das NIAID und NIH irgendwie doch ziemlich in Gain of Function Research verwickelt waren, via EcoHealth Alliance, das wurde doch schon vor einigen Monaten festgestellt.  Ist doch Klasse, wenn mehr dazu rauskommt."
170,@itosettiMD_MBA I'm sure she has Covid too...
171,"@Quo_vadis_BRD weil...
https://t.co/sMIJV5DPMe"
